Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-10-23 04:00:00-04:00,213.0,214.58,211.9,212.34,0,0.0,0.0
2023-10-23 04:05:00-04:00,212.32,212.92,212.23,212.88,0,0.0,0.0
2023-10-23 04:10:00-04:00,212.88,213.44,212.77,213.37,0,0.0,0.0
2023-10-23 04:15:00-04:00,213.38,213.47,213.26,213.45,0,0.0,0.0
2023-10-23 04:20:00-04:00,213.45,213.46,212.5,213.11,0,0.0,0.0
2023-10-23 04:25:00-04:00,213.11,213.12,212.76,212.77,0,0.0,0.0
2023-10-23 04:30:00-04:00,212.76,212.78,212.37,212.68,0,0.0,0.0
2023-10-23 04:35:00-04:00,212.61,212.88,212.6,212.61,0,0.0,0.0
2023-10-23 04:40:00-04:00,212.68,212.8,212.62,212.66,0,0.0,0.0
2023-10-23 04:45:00-04:00,212.66,212.93,212.62,212.69,0,0.0,0.0
2023-10-23 04:50:00-04:00,212.7,212.74,211.91,211.98,0,0.0,0.0
2023-10-23 04:55:00-04:00,211.98,211.98,210.74,210.76,0,0.0,0.0
2023-10-23 05:00:00-04:00,210.76,210.89,210.06,210.59,0,0.0,0.0
2023-10-23 05:05:00-04:00,210.6,210.6,209.35,209.48,0,0.0,0.0
2023-10-23 05:10:00-04:00,209.54,209.67,208.58,208.68,0,0.0,0.0
2023-10-23 05:15:00-04:00,208.63,209.5,208.34,209.0,0,0.0,0.0
2023-10-23 05:20:00-04:00,208.98,209.5,208.85,209.18,0,0.0,0.0
2023-10-23 05:25:00-04:00,209.16,209.17,208.72,208.93,0,0.0,0.0
2023-10-23 05:30:00-04:00,209.02,209.08,208.41,208.73,0,0.0,0.0
2023-10-23 05:35:00-04:00,208.74,208.94,208.4,208.41,0,0.0,0.0
2023-10-23 05:40:00-04:00,208.4,208.89,208.35,208.84,0,0.0,0.0
2023-10-23 05:45:00-04:00,208.75,208.82,208.12,208.18,0,0.0,0.0
2023-10-23 05:50:00-04:00,208.17,208.52,208.11,208.41,0,0.0,0.0
2023-10-23 05:55:00-04:00,208.41,208.7,208.23,208.25,0,0.0,0.0
2023-10-23 06:00:00-04:00,208.32,208.91,208.26,208.9,0,0.0,0.0
2023-10-23 06:05:00-04:00,208.91,208.96,208.51,208.76,0,0.0,0.0
2023-10-23 06:10:00-04:00,208.84,208.84,208.51,208.58,0,0.0,0.0
2023-10-23 06:15:00-04:00,208.59,208.63,208.06,208.34,0,0.0,0.0
2023-10-23 06:20:00-04:00,208.34,208.69,208.17,208.66,0,0.0,0.0
2023-10-23 06:25:00-04:00,208.64,208.94,208.61,208.83,0,0.0,0.0
2023-10-23 06:30:00-04:00,208.85,209.35,208.81,209.23,0,0.0,0.0
2023-10-23 06:35:00-04:00,209.28,209.48,209.11,209.43,0,0.0,0.0
2023-10-23 06:40:00-04:00,209.44,209.48,209.24,209.37,0,0.0,0.0
2023-10-23 06:45:00-04:00,209.37,209.5,209.22,209.36,0,0.0,0.0
2023-10-23 06:50:00-04:00,209.45,209.5,209.26,209.42,0,0.0,0.0
2023-10-23 06:55:00-04:00,209.44,209.74,209.3,209.48,0,0.0,0.0
2023-10-23 07:00:00-04:00,209.54,209.68,208.55,209.05,0,0.0,0.0
2023-10-23 07:05:00-04:00,209.05,209.34,208.8,208.9,0,0.0,0.0
2023-10-23 07:10:00-04:00,208.93,209.28,208.8,209.17,0,0.0,0.0
2023-10-23 07:15:00-04:00,209.12,209.3,209.02,209.23,0,0.0,0.0
2023-10-23 07:20:00-04:00,209.27,209.49,208.82,208.97,0,0.0,0.0
2023-10-23 07:25:00-04:00,208.99,209.29,208.82,209.0,0,0.0,0.0
2023-10-23 07:30:00-04:00,208.99,209.12,208.75,208.85,0,0.0,0.0
2023-10-23 07:35:00-04:00,208.83,209.59,208.69,209.55,0,0.0,0.0
2023-10-23 07:40:00-04:00,209.54,209.95,209.3,209.93,0,0.0,0.0
2023-10-23 07:45:00-04:00,209.93,210.08,209.75,209.93,0,0.0,0.0
2023-10-23 07:50:00-04:00,209.96,210.33,209.91,210.25,0,0.0,0.0
2023-10-23 07:55:00-04:00,210.25,210.34,209.84,209.99,0,0.0,0.0
2023-10-23 08:00:00-04:00,209.7,214.49,208.1397,209.8,0,0.0,0.0
2023-10-23 08:05:00-04:00,209.8,209.85,209.35,209.61,0,0.0,0.0
2023-10-23 08:10:00-04:00,209.586,209.72,209.0,209.34,0,0.0,0.0
2023-10-23 08:15:00-04:00,209.25,209.7,209.2,209.58,0,0.0,0.0
2023-10-23 08:20:00-04:00,209.4828,209.87,209.48,209.65,0,0.0,0.0
2023-10-23 08:25:00-04:00,209.64,210.51,209.58,209.88,0,0.0,0.0
2023-10-23 08:30:00-04:00,209.91,218.375,208.835,210.07,0,0.0,0.0
2023-10-23 08:35:00-04:00,210.075,210.75,210.05,210.67,0,0.0,0.0
2023-10-23 08:40:00-04:00,210.6,211.2,210.6,210.7,0,0.0,0.0
2023-10-23 08:45:00-04:00,210.7,210.7,210.14,210.47,0,0.0,0.0
2023-10-23 08:50:00-04:00,210.41,210.72,210.25,210.34,0,0.0,0.0
2023-10-23 08:55:00-04:00,210.43,210.44,209.88,209.98,0,0.0,0.0
2023-10-23 09:00:00-04:00,209.99,210.4,209.92,210.26,0,0.0,0.0
2023-10-23 09:05:00-04:00,210.25,210.72,210.2,210.4,0,0.0,0.0
2023-10-23 09:10:00-04:00,210.4,210.49,210.0,210.04,0,0.0,0.0
2023-10-23 09:30:00-04:00,210.0,210.47999572753906,206.01010131835938,206.2899932861328,8668446,0.0,0.0
2023-10-23 09:35:00-04:00,206.31500244140625,206.72999572753906,204.2801055908203,204.9250030517578,5506738,0.0,0.0
2023-10-23 09:40:00-04:00,204.91000366210938,205.25,202.50999450683594,202.8249969482422,4692510,0.0,0.0
2023-10-23 09:45:00-04:00,202.8466033935547,205.5,202.6999969482422,205.4282989501953,4390776,0.0,0.0
2023-10-23 09:50:00-04:00,205.4149932861328,206.99000549316406,205.3800048828125,206.19410705566406,4066367,0.0,0.0
2023-10-23 09:55:00-04:00,206.21499633789062,207.08999633789062,205.72999572753906,206.4429931640625,3220476,0.0,0.0
2023-10-23 10:00:00-04:00,206.42349243164062,207.6199951171875,205.3699951171875,207.45440673828125,3343279,0.0,0.0
2023-10-23 10:05:00-04:00,207.49000549316406,207.75,206.42010498046875,207.02000427246094,2689360,0.0,0.0
2023-10-23 10:10:00-04:00,207.02000427246094,208.72999572753906,206.7301025390625,208.57339477539062,2909866,0.0,0.0
