Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-10-17 04:00:00-04:00,253.51,253.89,252.96,253.57,0,0.0,0.0
2023-10-17 04:05:00-04:00,253.57,253.74,253.22,253.5,0,0.0,0.0
2023-10-17 04:10:00-04:00,253.5,253.72,253.5,253.53,0,0.0,0.0
2023-10-17 04:15:00-04:00,253.52,253.58,253.0,253.17,0,0.0,0.0
2023-10-17 04:20:00-04:00,253.13,253.34,253.11,253.25,0,0.0,0.0
2023-10-17 04:25:00-04:00,253.22,253.34,253.08,253.1,0,0.0,0.0
2023-10-17 04:30:00-04:00,253.07,253.14,252.62,252.72,0,0.0,0.0
2023-10-17 04:35:00-04:00,252.72,252.73,252.11,252.13,0,0.0,0.0
2023-10-17 04:40:00-04:00,252.15,252.41,251.99,252.14,0,0.0,0.0
2023-10-17 04:45:00-04:00,252.15,252.32,252.1,252.16,0,0.0,0.0
2023-10-17 04:50:00-04:00,252.21,252.26,252.01,252.2,0,0.0,0.0
2023-10-17 04:55:00-04:00,252.2,252.28,252.18,252.27,0,0.0,0.0
2023-10-17 05:00:00-04:00,252.23,252.7,252.18,252.69,0,0.0,0.0
2023-10-17 05:05:00-04:00,252.65,252.7,252.5,252.67,0,0.0,0.0
2023-10-17 05:10:00-04:00,252.69,252.7,252.5,252.57,0,0.0,0.0
2023-10-17 05:15:00-04:00,252.58,252.76,252.53,252.7,0,0.0,0.0
2023-10-17 05:20:00-04:00,252.74,252.88,252.62,252.62,0,0.0,0.0
2023-10-17 05:25:00-04:00,252.62,252.62,252.5,252.5,0,0.0,0.0
2023-10-17 05:30:00-04:00,252.51,252.8,252.45,252.75,0,0.0,0.0
2023-10-17 05:35:00-04:00,252.74,252.75,252.6,252.67,0,0.0,0.0
2023-10-17 05:40:00-04:00,252.68,252.71,252.58,252.59,0,0.0,0.0
2023-10-17 05:45:00-04:00,252.6,252.8,252.5,252.75,0,0.0,0.0
2023-10-17 05:50:00-04:00,252.75,252.87,252.72,252.75,0,0.0,0.0
2023-10-17 05:55:00-04:00,252.75,252.82,252.62,252.65,0,0.0,0.0
2023-10-17 06:00:00-04:00,252.65,252.75,252.63,252.7,0,0.0,0.0
2023-10-17 06:05:00-04:00,252.63,252.71,252.6,252.64,0,0.0,0.0
2023-10-17 06:10:00-04:00,252.65,252.75,252.31,252.74,0,0.0,0.0
2023-10-17 06:15:00-04:00,252.74,252.74,252.25,252.41,0,0.0,0.0
2023-10-17 06:20:00-04:00,252.33,252.6,252.33,252.5,0,0.0,0.0
2023-10-17 06:25:00-04:00,252.44,252.72,252.41,252.5,0,0.0,0.0
2023-10-17 06:30:00-04:00,252.55,252.55,252.36,252.55,0,0.0,0.0
2023-10-17 06:35:00-04:00,252.51,252.57,252.43,252.43,0,0.0,0.0
2023-10-17 06:40:00-04:00,252.45,252.67,252.3,252.6,0,0.0,0.0
2023-10-17 06:45:00-04:00,252.61,252.63,252.43,252.59,0,0.0,0.0
2023-10-17 06:50:00-04:00,252.6,252.87,252.6,252.87,0,0.0,0.0
2023-10-17 06:55:00-04:00,252.84,253.06,252.79,252.9,0,0.0,0.0
2023-10-17 07:00:00-04:00,252.94,253.21,252.7,252.79,0,0.0,0.0
2023-10-17 07:05:00-04:00,252.78,252.9,252.66,252.76,0,0.0,0.0
2023-10-17 07:10:00-04:00,252.7,252.95,252.69,252.95,0,0.0,0.0
2023-10-17 07:15:00-04:00,252.95,253.1,252.86,252.94,0,0.0,0.0
2023-10-17 07:20:00-04:00,252.94,252.95,252.85,252.94,0,0.0,0.0
2023-10-17 07:25:00-04:00,252.94,252.96,252.67,252.95,0,0.0,0.0
2023-10-17 07:30:00-04:00,252.95,253.18,252.81,253.18,0,0.0,0.0
