Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-10-02 04:00:00-04:00,253.33,253.52,251.72,252.67,0,0.0,0.0
2023-10-02 04:05:00-04:00,252.62,252.68,252.15,252.3,0,0.0,0.0
2023-10-02 04:10:00-04:00,252.3,252.43,252.13,252.15,0,0.0,0.0
2023-10-02 04:15:00-04:00,252.16,252.23,251.72,252.0,0,0.0,0.0
2023-10-02 04:20:00-04:00,252.02,252.37,251.89,252.2,0,0.0,0.0
2023-10-02 04:25:00-04:00,252.25,252.37,252.06,252.23,0,0.0,0.0
2023-10-02 04:30:00-04:00,252.18,252.35,252.1,252.19,0,0.0,0.0
2023-10-02 04:35:00-04:00,252.19,252.4,252.16,252.27,0,0.0,0.0
2023-10-02 04:40:00-04:00,252.33,252.69,252.3,252.52,0,0.0,0.0
2023-10-02 04:45:00-04:00,252.52,252.71,252.46,252.54,0,0.0,0.0
2023-10-02 04:50:00-04:00,252.54,252.64,252.0,252.05,0,0.0,0.0
2023-10-02 04:55:00-04:00,252.19,252.4,252.08,252.17,0,0.0,0.0
2023-10-02 05:00:00-04:00,252.17,252.17,251.75,251.87,0,0.0,0.0
2023-10-02 05:05:00-04:00,251.85,251.86,251.64,251.84,0,0.0,0.0
2023-10-02 05:10:00-04:00,251.77,252.1,251.76,251.9,0,0.0,0.0
2023-10-02 05:15:00-04:00,251.95,251.97,251.61,251.69,0,0.0,0.0
2023-10-02 05:20:00-04:00,251.68,252.08,251.68,251.84,0,0.0,0.0
2023-10-02 05:25:00-04:00,251.85,251.93,251.62,251.8,0,0.0,0.0
2023-10-02 05:30:00-04:00,251.82,251.88,251.71,251.88,0,0.0,0.0
2023-10-02 05:35:00-04:00,251.87,251.89,251.73,251.89,0,0.0,0.0
2023-10-02 05:40:00-04:00,251.83,251.92,251.78,251.83,0,0.0,0.0
2023-10-02 05:45:00-04:00,251.86,251.86,251.11,251.18,0,0.0,0.0
2023-10-02 05:50:00-04:00,251.21,251.26,250.6,250.7,0,0.0,0.0
2023-10-02 05:55:00-04:00,250.69,250.98,250.63,250.98,0,0.0,0.0
2023-10-02 06:00:00-04:00,250.91,251.49,250.86,251.36,0,0.0,0.0
2023-10-02 06:05:00-04:00,251.35,251.51,251.19,251.41,0,0.0,0.0
2023-10-02 06:10:00-04:00,251.42,251.48,250.85,251.09,0,0.0,0.0
2023-10-02 06:15:00-04:00,251.1,251.4,250.97,251.39,0,0.0,0.0
2023-10-02 06:20:00-04:00,251.37,251.58,251.34,251.4,0,0.0,0.0
2023-10-02 06:25:00-04:00,251.4,251.4,251.14,251.23,0,0.0,0.0
2023-10-02 06:30:00-04:00,251.1,251.35,251.01,251.09,0,0.0,0.0
2023-10-02 06:35:00-04:00,251.13,251.14,251.0,251.0,0,0.0,0.0
