Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-10-11 04:00:00-04:00,139.33,139.46,139.33,139.41,0,0.0,0.0
2023-10-11 04:05:00-04:00,139.41,139.41,139.29,139.29,0,0.0,0.0
2023-10-11 04:10:00-04:00,139.25,139.25,139.16,139.25,0,0.0,0.0
2023-10-11 04:15:00-04:00,139.14,139.17,139.1,139.16,0,0.0,0.0
2023-10-11 04:20:00-04:00,139.27,139.32,139.27,139.32,0,0.0,0.0
2023-10-11 04:25:00-04:00,139.36,139.36,139.09,139.28,0,0.0,0.0
2023-10-11 04:30:00-04:00,139.23,139.38,139.2,139.38,0,0.0,0.0
2023-10-11 04:35:00-04:00,139.4,139.43,139.37,139.37,0,0.0,0.0
2023-10-11 04:40:00-04:00,139.39,139.48,139.37,139.48,0,0.0,0.0
2023-10-11 04:50:00-04:00,139.45,139.45,139.44,139.44,0,0.0,0.0
2023-10-11 04:55:00-04:00,139.45,139.45,139.39,139.39,0,0.0,0.0
2023-10-11 05:00:00-04:00,139.37,139.45,139.37,139.45,0,0.0,0.0
2023-10-11 05:05:00-04:00,139.43,139.43,139.43,139.43,0,0.0,0.0
2023-10-11 05:10:00-04:00,139.45,139.45,139.45,139.45,0,0.0,0.0
2023-10-11 05:15:00-04:00,139.5,139.5,139.5,139.5,0,0.0,0.0
2023-10-11 05:20:00-04:00,139.53,139.54,139.47,139.5,0,0.0,0.0
2023-10-11 05:25:00-04:00,139.49,139.52,139.45,139.45,0,0.0,0.0
2023-10-11 05:30:00-04:00,139.43,139.49,139.4,139.49,0,0.0,0.0
2023-10-11 05:35:00-04:00,139.5,139.5,139.49,139.49,0,0.0,0.0
2023-10-11 05:40:00-04:00,139.5,139.55,139.5,139.55,0,0.0,0.0
2023-10-11 05:45:00-04:00,139.51,139.56,139.46,139.46,0,0.0,0.0
2023-10-11 05:55:00-04:00,139.44,139.53,139.44,139.45,0,0.0,0.0
2023-10-11 06:00:00-04:00,139.55,139.61,139.55,139.61,0,0.0,0.0
2023-10-11 06:05:00-04:00,139.6,139.62,139.6,139.62,0,0.0,0.0
2023-10-11 06:10:00-04:00,139.52,139.55,139.47,139.47,0,0.0,0.0
2023-10-11 06:20:00-04:00,139.52,139.52,139.5,139.5,0,0.0,0.0
2023-10-11 06:30:00-04:00,139.6,139.61,139.59,139.59,0,0.0,0.0
2023-10-11 06:35:00-04:00,139.55,139.63,139.55,139.63,0,0.0,0.0
2023-10-11 06:40:00-04:00,139.71,139.78,139.68,139.78,0,0.0,0.0
2023-10-11 06:45:00-04:00,139.79,139.82,139.72,139.72,0,0.0,0.0
2023-10-11 06:50:00-04:00,139.73,139.77,139.73,139.74,0,0.0,0.0
2023-10-11 06:55:00-04:00,139.78,139.78,139.7,139.78,0,0.0,0.0
2023-10-11 07:00:00-04:00,139.75,139.9,139.75,139.87,0,0.0,0.0
2023-10-11 07:05:00-04:00,139.92,139.97,139.92,139.97,0,0.0,0.0
2023-10-11 07:10:00-04:00,139.93,139.95,139.9,139.9,0,0.0,0.0
2023-10-11 07:15:00-04:00,139.95,139.95,139.8,139.8,0,0.0,0.0
2023-10-11 07:20:00-04:00,139.83,139.87,139.82,139.84,0,0.0,0.0
2023-10-11 07:25:00-04:00,139.84,139.84,139.79,139.82,0,0.0,0.0
2023-10-11 07:30:00-04:00,139.81,139.82,139.8,139.8,0,0.0,0.0
2023-10-11 07:35:00-04:00,139.85,139.86,139.84,139.84,0,0.0,0.0
2023-10-11 07:40:00-04:00,139.86,139.86,139.8,139.86,0,0.0,0.0
2023-10-11 07:45:00-04:00,139.88,139.93,139.8,139.89,0,0.0,0.0
2023-10-11 07:50:00-04:00,139.9,139.96,139.9,139.92,0,0.0,0.0
2023-10-11 07:55:00-04:00,139.93,139.98,139.91,139.95,0,0.0,0.0
2023-10-11 08:00:00-04:00,139.8514,140.0,139.21,139.93,0,0.0,0.0
2023-10-11 08:05:00-04:00,139.8,139.98,139.8,139.945,0,0.0,0.0
2023-10-11 08:10:00-04:00,139.9,139.97,139.79,139.875,0,0.0,0.0
2023-10-11 08:15:00-04:00,139.82,139.88,139.82,139.88,0,0.0,0.0
2023-10-11 08:20:00-04:00,139.85,139.93,139.2,139.92,0,0.0,0.0
2023-10-11 08:25:00-04:00,139.89,139.93,139.86,139.93,0,0.0,0.0
2023-10-11 08:30:00-04:00,139.85,139.85,139.3,139.575,0,0.0,0.0
2023-10-11 08:35:00-04:00,139.6,139.84,139.5,139.65,0,0.0,0.0
2023-10-11 08:40:00-04:00,139.66,139.83,139.6,139.83,0,0.0,0.0
2023-10-11 08:45:00-04:00,139.84,139.92,139.75,139.75,0,0.0,0.0
2023-10-11 08:50:00-04:00,139.86,140.0,139.815,139.92,0,0.0,0.0
2023-10-11 08:55:00-04:00,139.87,140.0,139.82,139.99,0,0.0,0.0
2023-10-11 09:00:00-04:00,139.915,140.0,139.812,139.85,0,0.0,0.0
2023-10-11 09:05:00-04:00,139.95,140.0,139.84,139.84,0,0.0,0.0
2023-10-11 09:10:00-04:00,139.89,139.89,139.75,139.78,0,0.0,0.0
2023-10-11 09:30:00-04:00,139.85000610351562,140.7100067138672,139.83999633789062,140.64999389648438,780785,0.0,0.0
2023-10-11 09:35:00-04:00,140.64999389648438,141.27999877929688,140.5500030517578,141.1199951171875,628104,0.0,0.0
2023-10-11 09:40:00-04:00,141.1280059814453,141.35000610351562,140.82000732421875,140.97000122070312,459646,0.0,0.0
2023-10-11 09:45:00-04:00,140.94000244140625,141.25,140.74380493164062,141.0782928466797,341308,0.0,0.0
2023-10-11 09:50:00-04:00,141.0500030517578,141.6300048828125,141.01080322265625,141.5500030517578,413671,0.0,0.0
2023-10-11 09:55:00-04:00,141.52999877929688,141.63999938964844,141.27999877929688,141.38999938964844,355289,0.0,0.0
2023-10-11 10:00:00-04:00,141.39999389648438,141.39999389648438,141.08999633789062,141.17999267578125,279454,0.0,0.0
2023-10-11 10:05:00-04:00,141.1699981689453,141.55499267578125,140.89999389648438,141.10000610351562,330961,0.0,0.0
2023-10-11 10:10:00-04:00,141.10000610351562,141.5050048828125,141.10000610351562,141.2270050048828,258772,0.0,0.0
2023-10-11 10:15:00-04:00,141.22999572753906,141.5,141.14999389648438,141.4600067138672,294331,0.0,0.0
2023-10-11 10:20:00-04:00,141.46090698242188,141.9199981689453,141.40499877929688,141.80999755859375,293626,0.0,0.0
2023-10-11 10:25:00-04:00,141.8000030517578,141.85000610351562,141.2550048828125,141.35000610351562,272736,0.0,0.0
2023-10-11 10:30:00-04:00,141.3300018310547,141.44000244140625,141.22999572753906,141.41600036621094,219193,0.0,0.0
2023-10-11 10:35:00-04:00,141.4149932861328,141.74000549316406,141.351806640625,141.72999572753906,193337,0.0,0.0
2023-10-11 10:40:00-04:00,141.74000549316406,141.81500244140625,141.57000732421875,141.67999267578125,183787,0.0,0.0
2023-10-11 10:45:00-04:00,141.68499755859375,141.7100067138672,141.41000366210938,141.6199951171875,250397,0.0,0.0
2023-10-11 10:50:00-04:00,141.61000061035156,141.88999938964844,141.5500030517578,141.6999969482422,372125,0.0,0.0
2023-10-11 10:55:00-04:00,141.69500732421875,141.88999938964844,141.64999389648438,141.80960083007812,152533,0.0,0.0
2023-10-11 11:00:00-04:00,141.86000061035156,141.97000122070312,141.66000366210938,141.67999267578125,236028,0.0,0.0
2023-10-11 11:05:00-04:00,141.6750030517578,142.0,141.6300048828125,141.9600067138672,230614,0.0,0.0
2023-10-11 11:10:00-04:00,141.97000122070312,142.22000122070312,141.97000122070312,142.13999938964844,375275,0.0,0.0
2023-10-11 11:15:00-04:00,142.16000366210938,142.16990661621094,141.7899932861328,141.8596954345703,238538,0.0,0.0
2023-10-11 11:20:00-04:00,141.8699951171875,142.02000427246094,141.80999755859375,141.9550018310547,142591,0.0,0.0
2023-10-11 11:25:00-04:00,141.9499969482422,141.9600067138672,141.40499877929688,141.41000366210938,231370,0.0,0.0
