Ticker,Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
MSFT,2023-10-04 04:00:00-04:00,311.35,312.48,311.05,311.79,0,0.0,0.0
MSFT,2023-10-04 04:05:00-04:00,311.77,311.77,311.06,311.15,0,0.0,0.0
MSFT,2023-10-04 04:10:00-04:00,311.25,311.72,310.89,311.16,0,0.0,0.0
MSFT,2023-10-04 04:15:00-04:00,311.18,311.65,311.04,311.44,0,0.0,0.0
MSFT,2023-10-04 04:20:00-04:00,311.44,311.55,311.0,311.55,0,0.0,0.0
MSFT,2023-10-04 04:25:00-04:00,311.48,311.89,311.48,311.84,0,0.0,0.0
MSFT,2023-10-04 04:30:00-04:00,311.85,312.1,311.83,311.93,0,0.0,0.0
MSFT,2023-10-04 04:35:00-04:00,311.95,312.0,311.75,311.95,0,0.0,0.0
MSFT,2023-10-04 04:40:00-04:00,311.95,312.17,311.73,312.1,0,0.0,0.0
MSFT,2023-10-04 04:45:00-04:00,312.15,312.15,311.93,311.93,0,0.0,0.0
MSFT,2023-10-04 04:50:00-04:00,311.93,312.17,311.9,311.95,0,0.0,0.0
MSFT,2023-10-04 04:55:00-04:00,312.09,312.17,312.09,312.1,0,0.0,0.0
MSFT,2023-10-04 05:00:00-04:00,312.14,312.16,311.74,311.93,0,0.0,0.0
MSFT,2023-10-04 05:05:00-04:00,311.93,312.17,311.84,312.17,0,0.0,0.0
MSFT,2023-10-04 05:10:00-04:00,312.17,312.2,311.93,312.2,0,0.0,0.0
MSFT,2023-10-04 05:15:00-04:00,312.05,312.26,312.0,312.26,0,0.0,0.0
MSFT,2023-10-04 05:20:00-04:00,312.39,312.52,312.15,312.4,0,0.0,0.0
MSFT,2023-10-04 05:25:00-04:00,312.17,312.68,312.14,312.33,0,0.0,0.0
MSFT,2023-10-04 05:30:00-04:00,312.4,312.69,312.39,312.69,0,0.0,0.0
MSFT,2023-10-04 05:35:00-04:00,312.67,312.88,312.6,312.8,0,0.0,0.0
MSFT,2023-10-04 05:40:00-04:00,312.77,312.8,312.71,312.75,0,0.0,0.0
MSFT,2023-10-04 05:45:00-04:00,312.75,312.75,312.33,312.75,0,0.0,0.0
MSFT,2023-10-04 05:50:00-04:00,312.73,312.83,312.5,312.8,0,0.0,0.0
MSFT,2023-10-04 05:55:00-04:00,312.65,312.79,312.55,312.55,0,0.0,0.0
MSFT,2023-10-04 06:00:00-04:00,312.58,312.79,312.56,312.79,0,0.0,0.0
MSFT,2023-10-04 06:05:00-04:00,312.79,312.79,312.58,312.6,0,0.0,0.0
MSFT,2023-10-04 06:10:00-04:00,312.77,312.8,312.6,312.8,0,0.0,0.0
MSFT,2023-10-04 06:15:00-04:00,312.77,312.8,312.61,312.8,0,0.0,0.0
