Ticker,Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
MSFT,2023-10-03 04:00:00-04:00,321.85,321.85,321.33,321.71,0,0.0,0.0
MSFT,2023-10-03 04:05:00-04:00,321.88,322.17,321.79,322.0,0,0.0,0.0
MSFT,2023-10-03 04:10:00-04:00,322.03,322.14,321.93,321.93,0,0.0,0.0
MSFT,2023-10-03 04:15:00-04:00,322.1,322.4,321.86,322.16,0,0.0,0.0
MSFT,2023-10-03 04:20:00-04:00,322.25,322.36,322.01,322.04,0,0.0,0.0
MSFT,2023-10-03 04:25:00-04:00,322.04,322.25,321.93,321.93,0,0.0,0.0
MSFT,2023-10-03 04:30:00-04:00,322.08,322.29,322.08,322.17,0,0.0,0.0
MSFT,2023-10-03 04:35:00-04:00,322.17,322.29,322.15,322.15,0,0.0,0.0
MSFT,2023-10-03 04:40:00-04:00,322.12,322.12,321.88,321.91,0,0.0,0.0
MSFT,2023-10-03 04:45:00-04:00,321.94,322.06,321.94,322.0,0,0.0,0.0
MSFT,2023-10-03 04:50:00-04:00,322.09,322.16,321.93,321.96,0,0.0,0.0
MSFT,2023-10-03 04:55:00-04:00,321.95,321.96,321.93,321.93,0,0.0,0.0
MSFT,2023-10-03 05:00:00-04:00,321.94,321.94,321.5,321.67,0,0.0,0.0
MSFT,2023-10-03 05:05:00-04:00,321.67,321.86,321.51,321.68,0,0.0,0.0
MSFT,2023-10-03 05:10:00-04:00,321.67,321.67,321.5,321.65,0,0.0,0.0
MSFT,2023-10-03 05:15:00-04:00,321.52,321.83,321.52,321.82,0,0.0,0.0
MSFT,2023-10-03 05:20:00-04:00,321.8,321.82,321.8,321.81,0,0.0,0.0
MSFT,2023-10-03 05:25:00-04:00,321.81,321.85,321.65,321.8,0,0.0,0.0
MSFT,2023-10-03 05:30:00-04:00,321.62,321.65,321.5,321.5,0,0.0,0.0
MSFT,2023-10-03 05:35:00-04:00,321.5,321.65,321.18,321.3,0,0.0,0.0
MSFT,2023-10-03 05:40:00-04:00,321.2,321.34,321.07,321.1,0,0.0,0.0
MSFT,2023-10-03 05:45:00-04:00,321.1,321.1,321.1,321.1,0,0.0,0.0
MSFT,2023-10-03 05:50:00-04:00,321.32,321.54,321.32,321.42,0,0.0,0.0
MSFT,2023-10-03 05:55:00-04:00,321.49,321.6,321.49,321.57,0,0.0,0.0
MSFT,2023-10-03 06:00:00-04:00,321.4,321.8,321.3,321.8,0,0.0,0.0
MSFT,2023-10-03 06:05:00-04:00,321.52,321.74,321.52,321.74,0,0.0,0.0
MSFT,2023-10-03 06:10:00-04:00,321.61,321.7,321.61,321.7,0,0.0,0.0
MSFT,2023-10-03 06:15:00-04:00,321.68,321.68,321.44,321.45,0,0.0,0.0
MSFT,2023-10-03 06:20:00-04:00,321.44,321.74,321.44,321.74,0,0.0,0.0
MSFT,2023-10-03 06:25:00-04:00,321.7,321.88,321.7,321.86,0,0.0,0.0
MSFT,2023-10-03 06:30:00-04:00,321.82,322.09,321.82,322.09,0,0.0,0.0
MSFT,2023-10-03 06:35:00-04:00,322.0,322.0,321.69,321.69,0,0.0,0.0
MSFT,2023-10-03 06:40:00-04:00,321.69,321.69,321.21,321.23,0,0.0,0.0
MSFT,2023-10-03 06:45:00-04:00,321.44,321.44,321.24,321.24,0,0.0,0.0
MSFT,2023-10-03 06:50:00-04:00,321.14,321.18,321.14,321.15,0,0.0,0.0
MSFT,2023-10-03 06:55:00-04:00,321.15,321.2,321.1,321.1,0,0.0,0.0
MSFT,2023-10-03 07:00:00-04:00,321.22,321.4,321.09,321.15,0,0.0,0.0
MSFT,2023-10-03 07:05:00-04:00,321.24,321.25,320.87,321.01,0,0.0,0.0
MSFT,2023-10-03 07:10:00-04:00,320.91,321.06,320.7,320.86,0,0.0,0.0
MSFT,2023-10-03 07:15:00-04:00,320.9,320.94,320.7,320.86,0,0.0,0.0
MSFT,2023-10-03 07:20:00-04:00,320.87,320.91,320.33,320.5,0,0.0,0.0
MSFT,2023-10-03 07:25:00-04:00,320.35,320.35,319.79,320.0,0,0.0,0.0
MSFT,2023-10-03 07:30:00-04:00,319.96,320.27,319.92,320.0,0,0.0,0.0
MSFT,2023-10-03 07:35:00-04:00,319.92,320.0,319.65,320.0,0,0.0,0.0
MSFT,2023-10-03 07:40:00-04:00,319.97,320.25,319.85,319.9,0,0.0,0.0
MSFT,2023-10-03 07:45:00-04:00,319.94,319.97,319.05,319.05,0,0.0,0.0
MSFT,2023-10-03 07:50:00-04:00,319.27,319.53,319.04,319.48,0,0.0,0.0
MSFT,2023-10-03 07:55:00-04:00,319.43,319.79,319.29,319.67,0,0.0,0.0
MSFT,2023-10-03 08:00:00-04:00,321.38,322.2942,319.04,319.75,0,0.0,0.0
MSFT,2023-10-03 08:05:00-04:00,319.7,319.7,319.28,319.315,0,0.0,0.0
MSFT,2023-10-03 08:10:00-04:00,319.4,319.76,319.32,319.42,0,0.0,0.0
MSFT,2023-10-03 08:15:00-04:00,319.55,319.55,319.05,319.3,0,0.0,0.0
MSFT,2023-10-03 08:20:00-04:00,319.38,319.57,319.25,319.55,0,0.0,0.0
MSFT,2023-10-03 08:25:00-04:00,319.55,319.79,319.4046,319.55,0,0.0,0.0
MSFT,2023-10-03 08:30:00-04:00,319.55,321.8,316.195,319.51,0,0.0,0.0
MSFT,2023-10-03 08:35:00-04:00,319.59,319.64,319.05,319.26,0,0.0,0.0
MSFT,2023-10-03 08:40:00-04:00,319.13,319.3,318.29,319.08,0,0.0,0.0
MSFT,2023-10-03 08:45:00-04:00,319.0,319.38,318.93,319.0,0,0.0,0.0
MSFT,2023-10-03 08:50:00-04:00,319.2673,321.8,318.8525,319.06,0,0.0,0.0
MSFT,2023-10-03 08:55:00-04:00,319.0,319.29,318.5,319.09,0,0.0,0.0
MSFT,2023-10-03 09:00:00-04:00,318.99,319.42,318.71,319.26,0,0.0,0.0
MSFT,2023-10-03 09:05:00-04:00,319.26,319.6,319.1,319.52,0,0.0,0.0
MSFT,2023-10-03 09:10:00-04:00,319.49,319.54,319.0,319.27,0,0.0,0.0
MSFT,2023-10-03 09:30:00-04:00,320.8299865722656,321.3900146484375,320.0,320.260009765625,809922,0.0,0.0
MSFT,2023-10-03 09:35:00-04:00,320.25,320.6098022460937,319.7300109863281,319.8599853515625,246358,0.0,0.0
